signal_thresh,max_pos,top_k,conf_weight,total_return,sharpe,max_dd,win_rate,avg_pos,avg_alpha,median_alpha,worst_alpha,years_beat_spy,alpha_2011,alpha_2012,alpha_2013,alpha_2014,alpha_2015,alpha_2016,alpha_2017,alpha_2018,alpha_2019,alpha_2020,alpha_2021,alpha_2022,alpha_2023,alpha_2024,alpha_2025
0.53,10,all,True,12.026973549527755,0.9548967355519059,-0.35641729491367935,0.5269401878398419,9.656324582338902,0.07208905306673108,0.057570745431607846,-0.07414834197441583,9,0.11211197674373453,-0.005268689660491294,0.1366177283613637,0.07181335990928375,-0.03546760901505262,0.04963284651454247,0.13127084579894086,0.057570745431607846,-0.008769327508246605,0.43216926761423363,-0.07414834197441583,-0.011464191664244672,-0.005598533199703826,0.126599599917256,0.10426611873215802
0.53,10,5,False,13.775912023357291,0.9518433116941489,-0.3625359515317126,0.527639801313892,4.964996022275258,0.05598126218704415,0.05393433539811449,-0.13038178504850356,10,0.139638964828266,-0.05220040903424125,0.18961715658020922,0.1759588789712793,-0.07973359715670346,0.18839370784648113,0.13961465852014518,0.05393433539811449,-0.06977674618461244,0.23728267152413202,-0.08278310104695624,-0.13038178504850356,0.025123489694305445,0.0272427874924408,0.07778792042130561
0.53,10,5,True,15.148138824633296,0.9564695858882808,-0.361941887972717,0.527639801313892,4.964996022275258,0.06747803052194644,0.06932232848022618,-0.13421761506527702,9,0.09899158425631195,-0.02190359825647667,0.2534738787352904,0.14697984044448256,-0.07747293138985299,0.1886952593972261,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13421761506527702,0.05025647018558732,-0.021684288013002373,0.08203044142723764
0.53,10,10,True,12.026973549527755,0.9548967355519059,-0.35641729491367935,0.5269401878398419,9.656324582338902,0.07208905306673108,0.057570745431607846,-0.07414834197441583,9,0.11211197674373453,-0.005268689660491294,0.1366177283613637,0.07181335990928375,-0.03546760901505262,0.04963284651454247,0.13127084579894086,0.057570745431607846,-0.008769327508246605,0.43216926761423363,-0.07414834197441583,-0.011464191664244672,-0.005598533199703826,0.126599599917256,0.10426611873215802
0.53,15,5,False,13.775912023357291,0.9518433116941489,-0.3625359515317126,0.527639801313892,4.964996022275258,0.05598126218704415,0.05393433539811449,-0.13038178504850356,10,0.139638964828266,-0.05220040903424125,0.18961715658020922,0.1759588789712793,-0.07973359715670346,0.18839370784648113,0.13961465852014518,0.05393433539811449,-0.06977674618461244,0.23728267152413202,-0.08278310104695624,-0.13038178504850356,0.025123489694305445,0.0272427874924408,0.07778792042130561
0.53,15,5,True,15.148138824633296,0.9564695858882808,-0.361941887972717,0.527639801313892,4.964996022275258,0.06747803052194644,0.06932232848022618,-0.13421761506527702,9,0.09899158425631195,-0.02190359825647667,0.2534738787352904,0.14697984044448256,-0.07747293138985299,0.1886952593972261,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13421761506527702,0.05025647018558732,-0.021684288013002373,0.08203044142723764
0.53,15,10,True,12.026973549527755,0.9548967355519059,-0.35641729491367935,0.5269401878398419,9.656324582338902,0.07208905306673108,0.057570745431607846,-0.07414834197441583,9,0.11211197674373453,-0.005268689660491294,0.1366177283613637,0.07181335990928375,-0.03546760901505262,0.04963284651454247,0.13127084579894086,0.057570745431607846,-0.008769327508246605,0.43216926761423363,-0.07414834197441583,-0.011464191664244672,-0.005598533199703826,0.126599599917256,0.10426611873215802
0.53,20,5,False,13.775912023357291,0.9518433116941489,-0.3625359515317126,0.527639801313892,4.964996022275258,0.05598126218704415,0.05393433539811449,-0.13038178504850356,10,0.139638964828266,-0.05220040903424125,0.18961715658020922,0.1759588789712793,-0.07973359715670346,0.18839370784648113,0.13961465852014518,0.05393433539811449,-0.06977674618461244,0.23728267152413202,-0.08278310104695624,-0.13038178504850356,0.025123489694305445,0.0272427874924408,0.07778792042130561
0.53,20,5,True,15.148138824633296,0.9564695858882808,-0.361941887972717,0.527639801313892,4.964996022275258,0.06747803052194644,0.06932232848022618,-0.13421761506527702,9,0.09899158425631195,-0.02190359825647667,0.2534738787352904,0.14697984044448256,-0.07747293138985299,0.1886952593972261,0.14419115716073436,0.06932232848022618,-0.04851049846047456,0.3463043533260068,-0.06428592439882325,-0.13421761506527702,0.05025647018558732,-0.021684288013002373,0.08203044142723764
0.53,20,10,True,12.026973549527755,0.9548967355519059,-0.35641729491367935,0.5269401878398419,9.656324582338902,0.07208905306673108,0.057570745431607846,-0.07414834197441583,9,0.11211197674373453,-0.005268689660491294,0.1366177283613637,0.07181335990928375,-0.03546760901505262,0.04963284651454247,0.13127084579894086,0.057570745431607846,-0.008769327508246605,0.43216926761423363,-0.07414834197441583,-0.011464191664244672,-0.005598533199703826,0.126599599917256,0.10426611873215802
